1; TI; 7177937723; Carlos; Morales; 22/09/1955; 3084968523; cmorales@gmail.com; A+; Nueva EPS; 
2; PA; IU176684; Rafael; Suárez; 22/11/2001; 3018909930; rafael.suarez@yahoo.com; A-; Sura; Colsanitas
3; CC; 20900793; Patricia; Sánchez; 01/06/1993; 3029090880; patricia53@gmail.com; A-; Sura; Medisanitas
4; CC; 29774542; Javier; Ruiz; 31/12/2008; 3089753562; jruiz@yahoo.com; B+; Nueva EPS; Compensar
5; TI; 7778843458; Francisco; Hernández; 19/03/1992; 3091840253; francisco35@yahoo.com; A-; Famisanar; Coomeva
6; PA; WK201045; Asunción; Delgado; 06/02/2010; 3069748177; adelgado@yahoo.com; B+; Nueva EPS; 
7; CC; 52989388; Elena; Sanz; 05/07/1945; 3094411455; elena80@hotmail.com; O-; Sura; 
8; PA; JX654467; Sergio; Vázquez; 30/04/1945; 3080716994; sergio.vazquez@outlook.com; B-; Salud Total; 
9; CC; 93140367; Esperanza; Rubio; 24/09/1979; 3023495613; esperanza6@hotmail.com; B-; Cruz Blanca; Colsanitas
10; PA; WF108072; Jorge; Marín; 09/02/1986; 3077930114; jorgemarin@outlook.com; O+; Cruz Blanca; Sura
11; CE; 386396747; Miguel; Moreno; 21/12/2004; 3057448470; mmoreno@yahoo.com; AB+; Famisanar; Salud Total
12; CE; 407572503; David; Jiménez; 26/06/1963; 3094763600; djimenez@hotmail.com; A-; Salud Total; Medisanitas
13; PA; UG337179; Javier; Torres; 26/02/1997; 3021059801; jtorres@yahoo.com; B+; Nueva EPS; Salud Total
14; CC; 75273887; Álvaro; Moreno; 12/08/1977; 3040917128; alvaro.moreno@hotmail.com; A+; Cruz Blanca; 
15; CE; 290948509; Luis; Martínez; 29/06/1984; 3092250147; luis.martinez@hotmail.com; A-; Famisanar; Aliansalud
16; TI; 6242332251; Alberto; Castro; 16/11/1978; 3044594376; albertocastro@yahoo.com; B-; Coomeva; Colsanitas
17; CC; 50838856; Josefa; Navarro; 08/06/1988; 3018691702; josefa21@example.com; A+; Sura; Coomeva
18; CE; 669330000; Alejandro; Álvarez; 06/07/1968; 3015462281; alejandro65@hotmail.com; A+; Cruz Blanca; 
19; CE; 157914118; Rafael; Moreno; 07/07/2002; 3015688370; rafael.moreno@example.com; AB-; Coomeva; Sura
20; CE; 923123378; Patricia; Ramos; 01/03/1987; 3046940930; pramos@hotmail.com; O+; Compensar; 
21; TI; 8948618905; Álvaro; Ortega; 03/05/1977; 3081136049; aortega@example.com; AB-; Salud Total; Colsanitas
22; TI; 3931655020; Alejandro; Gómez; 31/07/1950; 3073075428; alejandro.gomez@hotmail.com; B+; Medimas; 
23; CC; 25923070; Adrián; González; 08/12/1959; 3086317889; adrian6@outlook.com; AB+; Sanitas; Salud Total
24; CC; 52762184; Pablo; Álvarez; 29/11/2001; 3021356294; pablo.alvarez@example.com; B+; Cruz Blanca; Colsanitas
25; TI; 8855010940; Josefa; López; 28/03/1942; 3073757436; jlopez@example.com; AB+; Cafesalud; Salud Total
26; TI; 3869715022; Luis; Sanz; 30/05/1992; 3026826317; lsanz@example.com; B-; Medimas; 
27; TI; 1856462616; Carlos; Martínez; 20/05/1944; 3055471525; cmartinez@gmail.com; AB+; Famisanar; Coomeva
28; CC; 70158012; Isabel; González; 12/06/2008; 3016725955; isabel.gonzalez@hotmail.com; A+; Nueva EPS; Cruz Blanca
29; CC; 46107931; Carmen; Pérez; 15/04/1958; 3046769260; carmen53@hotmail.com; A+; Compensar; Cruz Blanca
30; TI; 8304118935; Daniel; Sanz; 31/01/1956; 3086183216; daniel.sanz@yahoo.com; A+; Salud Total; Salud Total
31; PA; GZ330489; María; Marín; 01/10/1947; 3075304776; maria90@gmail.com; A-; Compensar; Colsanitas
32; TI; 6464080701; Alejandro; Torres; 22/01/1947; 3035091205; atorres@outlook.com; O+; Cafesalud; Coomeva
33; CE; 766225093; Pablo; Domínguez; 07/10/2007; 3037333660; pablodominguez@outlook.com; O+; Medimas; Colsanitas
34; CC; 85811782; Esperanza; Domínguez; 22/03/1956; 3019516477; edominguez@yahoo.com; O+; Coomeva; Colsanitas
35; PA; ZH631154; Fernando; Gutiérrez; 07/09/1940; 3064131812; fernando48@hotmail.com; AB+; Compensar; Colsanitas
36; CE; 740775559; Mercedes; Sánchez; 25/10/1958; 3060785052; mercedes83@example.com; A-; Cruz Blanca; Aliansalud
37; PA; VE253249; Montserrat; Torres; 23/04/1978; 3044330550; montserrattorres@gmail.com; O+; Cafesalud; Medisanitas
38; TI; 2367184216; Alberto; Sánchez; 05/10/1957; 3074654130; alberto.sanchez@hotmail.com; B-; Salud Total; Coomeva
39; CC; 79970718; Ana; Iglesias; 18/06/1972; 3062991445; ana.iglesias@hotmail.com; O+; Famisanar; 
40; CC; 23587835; Ángeles; Ramírez; 29/06/1966; 3019702355; angeles.ramirez@example.com; AB-; Salud Total; Coomeva
41; TI; 2721030556; Jorge; Sanz; 23/02/1955; 3068033718; jsanz@example.com; A+; Medimas; Colsanitas
42; CE; 504443900; Pablo; Torres; 13/05/1987; 3022203635; pablo88@yahoo.com; AB-; Compensar; Coomeva
43; CC; 88894488; Isabel; Morales; 13/11/1945; 3091007274; isabelmorales@outlook.com; AB-; Coomeva; Medisanitas
44; PA; CN879283; Juan; Ruiz; 12/12/1977; 3018814687; juan.ruiz@hotmail.com; AB-; Medimas; Coomeva
45; TI; 2228291149; Antonia; Ramos; 15/03/1960; 3096036033; antoniaramos@outlook.com; B+; Sura; Salud Total
46; CC; 10577247; Pilar; Castro; 19/08/1990; 3044501699; pilarcastro@gmail.com; B-; Famisanar; Cruz Blanca
47; TI; 7591343115; Francisca; Díaz; 24/09/2007; 3081250646; franciscadiaz@outlook.com; B-; Famisanar; Coomeva
